,"Design using 
patterns and 
components","Achieve quality attributes 
using  components
 design","Implement 
technologies 
and components design","Analyze decision 
factors","Compare and 
evaluate 
technologies","Design
using multiple 
technologies"
Instantiate architecture elements,4,4,2,,,
Instantiate architecture elements,3,4,2,,,
Instantiate architecture elements,3,4,3,,,
Instantiate architecture elements,3,5,3,,,
Instantiate architecture elements,2,4,3,,,
Instantiate architecture elements,2,3,3,,,
Instantiate architecture elements,2,,3,,,
Instantiate architecture elements,4,,3,,,
Instantiate architecture elements,3,,4,,,
Instantiate architecture elements,3,,4,,,
Instantiate architecture elements,2,,3,,,
Instantiate architecture elements,2,,3,,,
Instantiate architecture elements,3,,4,,,
Instantiate architecture elements,3,,3,,,
Instantiate architecture elements,3,,4,,,
Instantiate architecture elements,2,,4,,,
Instantiate architecture elements,5,,3,,,
Instantiate architecture elements,4,,2,,,
Instantiate architecture elements,4,,2,,,
Instantiate architecture elements,4,,3,,,
Instantiate architecture elements,3,,3,,,
Instantiate architecture elements,4,,2,,,
Instantiate architecture elements,4,,4,,,
Instantiate architecture elements,4,,4,,,
Instantiate architecture elements,4,,3,,,
Instantiate architecture elements,4,,3,,,
Instantiate architecture elements,3,,2,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
